s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 1.1100061E+002, 6.3109457E+000, 0.0000000E+000,-1.9395243E+000,-2.8844784E+000,-1.3803872E+000,-5.4909014E-005, 0.0000000E+000, 0.0000000E+000, 1.8210197E-001, 1.0650089E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.1200043E+002, 5.7125933E+000, 0.0000000E+000,-1.7630222E+000,-2.8332619E+000,-1.3772372E+000,-5.4260544E-005, 0.0000000E+000, 0.0000000E+000,-1.8574251E-001,-2.6098232E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.1300121E+002, 6.3509704E+000, 0.0000000E+000,-1.9422985E+000,-2.8939464E+000,-1.3676943E+000,-5.4899034E-005, 0.0000000E+000, 0.0000000E+000, 2.2621259E-001, 1.4697634E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.1400079E+002, 6.6519444E+000, 0.0000000E+000,-2.0462803E+000,-3.1037628E+000,-1.5177730E+000,-5.8273498E-005, 0.0000000E+000, 0.0000000E+000, 7.7548763E-002,-1.5929899E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.1500011E+002, 6.0135025E+000, 0.0000000E+000,-1.8586392E+000,-3.1485666E+000,-1.4339918E+000,-5.7828849E-005, 0.0000000E+000, 0.0000000E+000,-3.4096488E-001,-4.2775296E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.1600053E+002, 6.0380198E+000, 0.0000000E+000,-1.8609375E+000,-2.9491716E+000,-1.3403028E+000,-5.9118090E-005, 0.0000000E+000, 0.0000000E+000,-4.6340373E-002,-1.1245129E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.1700014E+002, 6.0377055E+000, 0.0000000E+000,-1.8517402E+000,-2.7586141E+000,-1.3151387E+000,-5.9199934E-005, 0.0000000E+000, 0.0000000E+000, 1.8103582E-001, 1.1215334E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.1800109E+002, 6.3006893E+000, 0.0000000E+000,-1.9398194E+000,-3.1206227E+000,-1.4040769E+000,-5.7084274E-005, 0.0000000E+000, 0.0000000E+000,-8.4190127E-002,-1.6388673E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.1900051E+002, 6.3334672E+000, 0.0000000E+000,-1.9479912E+000,-2.8052855E+000,-1.4079495E+000,-6.0317083E-005, 0.0000000E+000, 0.0000000E+000, 2.4911722E-001, 1.7218063E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 1.2000000E+002, 6.3877573E+000, 0.0000000E+000,-1.9726678E+000,-3.2172788E+000,-1.4473235E+000,-5.7017171E-005, 0.0000000E+000, 0.0000000E+000,-1.7797921E-001,-2.4956967E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
