s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 7.0001663E+001, 2.9541043E+000, 0.0000000E+000,-9.6310771E-001,-1.3166716E+000,-6.0510631E-001,-1.8924331E-004, 0.0000000E+000, 0.0000000E+000, 8.2109835E-002, 6.9029452E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 7.1002060E+001, 3.1317172E+000, 0.0000000E+000,-1.0354401E+000,-1.3153106E+000,-6.6352573E-001,-2.1486754E-004, 0.0000000E+000, 0.0000000E+000, 1.4041479E-001, 1.1722594E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 7.2003105E+001, 1.6998824E+000, 0.0000000E+000,-6.6521524E-001,-3.9730275E-001,-6.5440898E-001,-1.9772766E-004, 0.0000000E+000, 0.0000000E+000,-1.2553183E-002,-1.7242318E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 7.3002350E+001, 2.2035556E+000, 0.0000000E+000,-7.4566689E-001,-8.3067944E-001,-6.8822238E-001,-2.1278005E-004, 0.0000000E+000, 0.0000000E+000,-5.5534801E-002,-6.1225908E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 7.4000420E+001, 1.8983473E+000, 0.0000000E+000,-6.4753998E-001,-8.0327396E-001,-5.9703412E-001,-2.3112850E-004, 0.0000000E+000, 0.0000000E+000,-1.4296693E-001,-1.4973185E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 7.5002167E+001, 2.1142603E+000, 0.0000000E+000,-7.3224220E-001,-7.9478488E-001,-5.6473247E-001,-2.3503636E-004, 0.0000000E+000, 0.0000000E+000, 2.0948716E-002, 2.2265699E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 7.6000900E+001, 2.4823718E+000, 0.0000000E+000,-8.6174850E-001,-8.9044839E-001,-6.1496663E-001,-2.2750528E-004, 0.0000000E+000, 0.0000000E+000, 1.2996352E-001, 1.1498075E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 7.7008087E+001, 1.7774771E+000, 0.0000000E+000,-5.9469828E-001,-9.6245855E-001,-5.4399458E-001,-1.9400947E-004, 0.0000000E+000, 0.0000000E+000,-3.1706986E-001,-3.2386829E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 7.8004219E+001, 1.8789320E+000, 0.0000000E+000,-6.0666602E-001,-1.0338471E+000,-4.7361457E-001,-1.8866697E-004, 0.0000000E+000, 0.0000000E+000,-2.3496040E-001,-2.3538441E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 7.9004028E+001, 2.1495579E+000, 0.0000000E+000,-7.2264837E-001,-8.8190526E-001,-4.6373148E-001,-2.1424312E-004, 0.0000000E+000, 0.0000000E+000, 8.7064940E-002, 8.1058522E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 8.0004395E+001, 2.2654465E+000, 0.0000000E+000,-7.4441889E-001,-8.7578122E-001,-5.1951006E-001,-2.1378647E-004, 0.0000000E+000, 0.0000000E+000, 1.2953725E-001, 1.2552250E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 8.1000526E+001, 2.1110252E+000, 0.0000000E+000,-7.1062761E-001,-9.6808886E-001,-4.9238506E-001,-2.1255717E-004, 0.0000000E+000, 0.0000000E+000,-4.9998935E-002,-6.0288880E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 8.2004318E+001, 2.0327406E+000, 0.0000000E+000,-6.8285462E-001,-9.1570487E-001,-4.8855885E-001,-2.1215274E-004, 0.0000000E+000, 0.0000000E+000,-4.6306684E-002,-5.4589850E-002, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
 8.3006050E+001, 2.2705658E+000, 0.0000000E+000,-7.8315600E-001,-8.3117254E-001,-5.1764012E-001,-2.6161196E-004, 0.0000000E+000, 0.0000000E+000, 1.4393002E-001, 1.3833557E-001, 0.0000000E+000, 1.3627035E-004, 0.0000000E+000
